"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190101","@API Page Playwright Test","","2026-07-01","passed","2026-07-01","","WebAPIPart1.spec.js","",""
"","32559","@API Test case 2","","2026-07-01","passed","2026-07-01","","WebAPIPart2.spec.js","",""
